# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	308026
#@/user_id	81bf718c-31d1-4575-8c56-55f3655d21e4
bang bu shang 	幫不上	c=2 d=1 t=118751
bang dai 	棒呆	c=3 d=1 t=143771
bang dan 	榜單	c=1 d=1 t=63341
bang ding 	綁定	c=38 d=3.68598 t=303568
bang hui 	幫會	c=0 d=0.1 t=55741
bang hui zhan 	幫會站	c=2 d=1.52205 t=55872
bang jia 	綁架	c=1 d=1 t=84378
bang le 	幫了	c=2 d=1 t=206306
bang le 	綁了	c=4 d=0.1 t=90970
bang mang 	幫忙	c=137 d=0.0304473 t=308026
bang mang gan xie 	幫忙感謝	c=1 d=1 t=207458
bang mang jie jue 	幫忙解決	c=1 d=1 t=298061
bang mang shuo 	幫忙說	c=1 d=1 t=297709
bang mei bang ding 	棒沒綁定	c=1 d=1 t=217008
bang ni 	幫你	c=56 d=1 t=307273
bang ni men 	幫你們	c=2 d=1 t=259881
bang qiu 	棒球	c=0 d=0.1 t=94138
bang qiu fu 	棒球服	c=2 d=1.99501 t=94140
bang shang 	榜上	c=1 d=1 t=201921
bang ta 	幫他	c=13 d=1 t=290905
bang ta men 	幫他們	c=9 d=1.96079 t=291976
bang ta men ba 	幫他們把	c=1 d=1 t=93967
bang wo 	幫我	c=189 d=0.121064 t=308026
bang wo kan 	幫我看	c=1 d=1 t=256129
bang wo men 	幫我們	c=25 d=1 t=275033
bang wo men kan 	幫我們看	c=1 d=1 t=135936
bang yang 	榜樣	c=1 d=1 t=131077
bang zai 	綁在	c=1 d=1 t=37395
bang zhe 	幫着	c=1 d=1 t=288650
bang zhe cui 	幫着催	c=1 d=1 t=205399
bang zhu 	幫助	c=40 d=1 t=307583
bang zi 	棒子	c=1 d=1 t=200615
bao 	保	c=2 d=1 t=303979
bao 	包	c=347 d=0.951657 t=308026
bao 	堡	c=16 d=1 t=248546
bao 	報	c=59 d=1.01412 t=304531
bao 	寶	c=27 d=1 t=303106
bao 	抱	c=1 d=1 t=265439
bao 	曝	c=0 d=0.1 t=124909
bao 	爆	c=24 d=1.90937 t=296184
bao 	豹	c=1 d=1 t=108610
bao 	飽	c=2 d=1 t=8165
bao bao 	包包	c=1 d=1 t=130412
bao bao 	寶寶	c=61 d=1.07673 t=305799
